Break In Period,Car Age Inception,Claim Freq,Claim loss_reported_period,Claim occ_cycle,Manufacturer,RTO City,Policy Type,Marital Status,OCCUPATION,CITY,Facility Name,Ageny Num,Surveyor,Type Of Payment,Geography,IDV Value,Claim Element,Claim Created Date,Claim Status
0,3,0,42,82,Andrews-Washington,Sandrafurt, New vehicle without NCB,NOT KNOWN,Futures trader,Reyesmouth,Porter Ltd,20078804,John Gibson,CASHLESS,South Randy,1072300, OWNER DRIVER:BODY INJURY,12/28/2018 22:05, Rejected
2,8,5,30,10,Sanders and Sons,Hillmouth,MTHF Renewal,NOT KNOWN,Interior and spatial designer,South Amber,"Page, Jones and Soto",35291778,Tracey Nguyen,,West George,350000, OWNER DRIVER:DEATH,3/15/2019 20:23, Rejected
2,6,3,3,93,"Evans, Tucker and Mathis",South Elizabethburgh,MTHF Renewal,NOT KNOWN,Risk analyst,East Louis,"Montoya, Garza and Wood",42068176,Daniel Cortez MD,CASHLESS,Floydmouth,182000, NET OF SALVAGE,3/6/2019 9:46, Rejected
2,6,7,12,46,"Sanchez, Woods and Norman",Collinston,MTHF Renewal,NOT KNOWN,"Nurse, children's",Wellsberg,Hawkins-Wiley,42129509,Katherine Walls,,Jacquelineborough,182000, NET OF SALVAGE,12/25/2018 14:47,Accepted
7,6,7,11,86,Medina Inc,Jenniferhaven,MTHF Renewal,NOT KNOWN,Diplomatic Services operational officer,Christophertown,"Moreno, Pham and Gilbert",3061395,Tammy Booth,,Victoriafurt,190570,PARTIAL LOSS,10/19/2018 3:41, Rejected
6,0,5,40,43,"Moon, Mosley and Garcia",Andrewshire, Our own renewals,NOT KNOWN,Outdoor activities/education manager,North Robert,"Diaz, Lee and Serrano",50672762,Peter Allen,CASHLESS,Christinefurt,560025,PARTIAL LOSS,10/5/2018 15:14, Rejected
8,2,7,61,18,Ruiz PLC,East Amandastad,MTHF Renewal,NOT KNOWN,Investment analyst,New Krystalland,"Anderson, Tucker and Williams",50201403,Shelley Miller,CASHLESS,Ericborough,510798, NET OF SALVAGE,2/17/2019 17:06, Rejected
2,0,5,85,51,White-Thomas,Lynnberg, Our own renewals,NOT KNOWN,"Designer, multimedia",Lake Joyce,"Salinas, Todd and Wilson",68089374,Robert Solomon,CASHLESS,Petersenfurt,688463, NET OF SALVAGE,2/8/2019 6:07, Rejected
8,3,6,41,71,"Calhoun, Dunn and Smith",Danielville,MTHF Renewal,NOT KNOWN,Interpreter,Lake Jonathanmouth,"Serrano, Mccoy and Newton",79789596,Jessica Gonzalez,CASHLESS,East Victoria,265099,PARTIAL LOSS,3/7/2019 6:24, Rejected
9,0,7,61,52,Costa-Williams,New Alexandertown,MTHF Renewal,NOT KNOWN,"Surveyor, minerals",East Michele,Padilla-Thomas,61045783,James Christensen,,Bergview,731975,PARTIAL LOSS,11/3/2018 4:58, Rejected
9,0,9,58,31,"Ochoa, Little and Russell",Laurastad, Our own renewals,NOT KNOWN,Database administrator,New Matthewchester,Gilbert PLC,76825322,Jessica Castro,CASHLESS,Port Danielton,931000, NET OF SALVAGE,1/14/2019 9:34, Rejected
7,0,7,22,72,Davis-Parker,East Julieland, NCB Transfer,NOT KNOWN,Immunologist,Walshmouth,Serrano-Acosta,19039786,Lance Mercer,,South Cassandra,1122425, OWNER DRIVER:DEATH,10/29/2018 13:03, Rejected
6,8,5,84,61,Woods-Noble,West Joshuastad,MTHF Renewal,NOT KNOWN,"Surveyor, insurance",Kathrynbury,"Tapia, Galloway and Marquez",93138601,John Cannon,,North Rebecca,155000, NET OF SALVAGE,10/23/2018 15:00,Accepted
7,0,6,66,52,Mason-Jackson,East Brittanyborough, New vehicle without NCB,NOT KNOWN,"Engineer, land",Jenkinsland,"Frazier, Davis and Andrews",95785345,Shelby Baker,CASHLESS,Jennychester,1219151,PARTIAL LOSS,11/30/2018 20:17, Rejected
6,1,0,41,65,Ellis Group,Hessview, Our own renewals,NOT KNOWN,Exhibition designer,North Lisa,Smith Group,78442212,Joshua Hill,CASHLESS,Rogersview,630032,PARTIAL LOSS,11/1/2018 11:31,Accepted
0,2,8,59,8,Blevins LLC,Lake Julia,MTHF Renewal,NOT KNOWN,Theatre manager,East John,"Young, Wise and Nixon",78233732,Chad Martin,,Kevinville,515900, OWNER DRIVER:DEATH,2/28/2019 10:29,Accepted
3,2,8,16,60,Huynh-Marquez,Kirstenchester,MTHF Renewal,NOT KNOWN,Arts development officer,Davidfort,"Morrison, Rich and Adams",68442339,Patricia Owens,CASHLESS,Brendaburgh,473939, OWNER DRIVER:DEATH,1/7/2019 22:50,Accepted
0,0,4,35,49,Mcdowell-Chase,South John,MTHF Renewal,NOT KNOWN,Advertising account planner,Thomaschester,Mcneil Inc,82654954,Amanda Thompson,CASHLESS,New Guyberg,1498150,PARTIAL LOSS,11/5/2018 1:53, Rejected
7,2,9,56,37,"Scott, Ochoa and Wilson",West Adammouth,MTHF Renewal,NOT KNOWN,Education administrator,New Amybury,Barnes Group,66883004,Michael Kelly,CASHLESS,North Samanthaville,2179417,PARTIAL LOSS,12/17/2018 5:16,Accepted
0,8,5,10,78,Jordan LLC,Johnsonhaven,MTHF Renewal,NOT KNOWN,Minerals surveyor,Kyleville,Sanders Inc,96788383,Justin Alvarez,CASHLESS,West Jordan,263625, OWNER DRIVER:DEATH,12/11/2018 9:36,Accepted
7,8,3,89,6,"Davis, Bass and Grimes",New Wendyborough,MTHF Renewal,NOT KNOWN,"Administrator, education",Fitzgeraldton,Wagner-Rodriguez,22011530,Taylor Pope,CASHLESS,Grayview,620736, OWNER DRIVER:DEATH,3/21/2019 6:05,Accepted
3,5,4,50,75,Cruz and Sons,Lake Ryanville, NCB Transfer,NOT KNOWN,Arts administrator,Bruceville,"Carr, Baxter and Scott",94851355,Douglas Mendoza,CASHLESS,Rhondamouth,748357, OWNER DRIVER:DEATH,10/29/2018 21:00, Rejected
3,5,8,83,52,Horton-Durham,Port Rebekah, New vehicle without NCB,NOT KNOWN,Education administrator,West Deborah,Williamson-Mathis,7171061,Laurie Cantu,CASHLESS,Lawsonborough,748357, NET OF SALVAGE,11/29/2018 22:11,Accepted
5,5,7,51,70,"Jensen, Harrington and Goodman",Jesseport, NCB Transfer,NOT KNOWN,Community development worker,Fieldsborough,Bray and Sons,28334767,Stephanie Patterson,CASHLESS,Lake Ericaview,748357, OWNER DRIVER:BODY INJURY,12/5/2018 20:07,Accepted
1,5,4,69,98,Vance Inc,Hodgesview, NCB Transfer,NOT KNOWN,Chartered public finance accountant,East Russell,Clark-Allen,75296052,Patricia Arnold,,New Jason,748357, OWNER DRIVER:BODY INJURY,11/30/2018 9:24,Accepted
1,0,5,48,37,"Carter, Baker and Baker",Philipburgh, Our own renewals,NOT KNOWN,Multimedia programmer,East Leviton,Page-Mcpherson,57752502,Rebecca Sampson,CASHLESS,Lake Marioville,2090950, OWNER DRIVER:BODY INJURY,1/13/2019 22:05,Accepted
4,8,1,57,39,"Hahn, Parker and Cruz",Lake Ann, New vehicle without NCB,NOT KNOWN,"Production designer, theatre/television/film",Walshside,Perez-Espinoza,56328295,Angela Kaufman,CASHLESS,Maryshire,132192, OWNER DRIVER:BODY INJURY,12/29/2018 5:26,Accepted
6,8,0,90,31,"Tucker, Foster and Campbell",Farmerfurt, New vehicle without NCB,NOT KNOWN,"Therapist, art",East Jeffrey,Ayala and Sons,58677780,Sara Saunders,,West Bradley,132192, OWNER DRIVER:DEATH,11/27/2018 6:19,Accepted
5,4,6,88,44,Moran-Hill,Brownfurt, Our own renewals,NOT KNOWN,Corporate treasurer,East Anna,"Edwards, Buckley and Wallace",14544663,William Carter,CASHLESS,South Saraborough,243223, NET OF SALVAGE,11/3/2018 4:45,Accepted
5,2,2,17,59,Gonzalez-Herring,Brendaview, New vehicle without NCB,NOT KNOWN,"Nurse, adult",Smithshire,Rivera and Sons,1609002,Derrick Bennett,CASHLESS,New James,539396, OWNER DRIVER:BODY INJURY,10/15/2018 17:09,Accepted
0,1,9,36,69,Bowen-Thomas,Russellmouth, Our own renewals,NOT KNOWN,"Designer, industrial/product",Karenland,Brown-Hernandez,27083159,Erica Shields,CASHLESS,Michaelstad,248363,PARTIAL LOSS,1/4/2019 13:12, Rejected
2,6,8,92,12,Mills Group,Robinsonside, Our own renewals,NOT KNOWN,Film/video editor,Melissaton,Thomas Ltd,97383962,Todd Young,,North Joshua,364500, NET OF SALVAGE,1/22/2019 11:12,Accepted
1,3,8,80,56,Hoffman-Johnson,Cisnerosshire, NCB Transfer,NOT KNOWN,"Psychologist, educational",Wigginsside,Jackson and Sons,98439373,Elizabeth Kane,CASHLESS,North Barbara,711790,PARTIAL LOSS,1/19/2019 11:42,Accepted
7,7,1,83,7,"White, Lara and Thompson",New Matthew, Our own renewals,NOT KNOWN,Translator,South Rachel,Esparza and Sons,25607571,Steven Mullins,CASHLESS,North Taylorberg,254900,PARTIAL LOSS,3/1/2019 22:35, Rejected
5,6,1,69,82,Reese LLC,Lake Aarontown, NCB Transfer,NOT KNOWN,Oncologist,Robertland,Harvey and Sons,16648317,Bridget Mullins,,Youngland,363000, OWNER DRIVER:DEATH,1/13/2019 5:50, Rejected
2,0,7,13,5,"Figueroa, Herman and Gilmore",Mcguirebury, Our own renewals,NOT KNOWN,"Engineer, automotive",Harryhaven,Monroe-Tapia,6468248,Sarah Gonzales,CASHLESS,North Cody,710600, OWNER DRIVER:BODY INJURY,3/5/2019 9:20,Accepted
7,0,4,90,10,Johnson-Larsen,South Scott,MTHF Renewal,NOT KNOWN,Medical secretary,Marcuschester,Garrett Group,46946692,Vanessa Hernandez,,Allisonborough,710600, NET OF SALVAGE,10/31/2018 14:00,Accepted
6,3,8,34,53,Holder PLC,Morganbury, NCB Transfer,NOT KNOWN,Economist,Adamston,Reyes-Torres,76580138,Jason Nguyen,REIMBURSEMENT,Port Tonya,223000, OWNER DRIVER:BODY INJURY,12/8/2018 23:00,Accepted
0,1,5,78,67,Lopez-Hutchinson,West Anneland, NCB Transfer,NOT KNOWN,Air traffic controller,Laurabury,Burgess-Castaneda,15255328,Wesley Jackson,CASHLESS,Lake Perrytown,345146, OWNER DRIVER:BODY INJURY,1/11/2019 8:59,Accepted
0,1,4,50,86,"Miranda, Smith and Eaton",South James, Our own renewals,NOT KNOWN,"Therapist, drama",New Stephen,Rodriguez PLC,53672197,Lisa Durham,,East Lisamouth,345146, OWNER DRIVER:DEATH,3/2/2019 4:20, Rejected
1,0,0,50,12,Santiago Inc,South Marie, New vehicle without NCB,NOT KNOWN,Chief of Staff,Rileymouth,Thompson-Gonzales,1702603,Holly Chapman,CASHLESS,Garytown,959133, OWNER DRIVER:DEATH,10/30/2018 9:08, Rejected
8,5,2,56,75,Brooks Ltd,Smithland,MTHF Renewal,NOT KNOWN,"Lecturer, higher education",Port Elizabethfurt,Graves Ltd,75288081,Thomas Pittman,CASHLESS,Harveychester,1373000, NET OF SALVAGE,2/15/2019 0:27, Rejected
2,5,8,42,33,Jones LLC,West Greg, Our own renewals,NOT KNOWN,Animal nutritionist,Melissaville,Smith and Sons,57872908,Douglas Holt,,North Briannatown,1373000,PARTIAL LOSS,3/5/2019 17:20,Accepted
6,6,6,40,17,"Kelly, Thompson and Peters",North Cesar, New vehicle without NCB,NOT KNOWN,IT consultant,Leahshire,Morris Inc,79531033,Phillip Fletcher,REIMBURSEMENT,North Nancyburgh,390000, NET OF SALVAGE,2/19/2019 3:49, Rejected
9,3,9,61,61,Kelly Ltd,Simmonsberg, Our own renewals,NOT KNOWN,Commercial horticulturist,Wongberg,Smith and Sons,92822238,Tracy Robinson,CASHLESS,Lake Shanemouth,390000, OWNER DRIVER:DEATH,10/9/2018 8:25,Accepted
1,3,4,46,83,Rodriguez Inc,Lake Davidfurt, NCB Transfer,NOT KNOWN,Transport planner,North Michael,"Daniels, Ray and Hood",74990959,Michael Gomez,,North Tanyahaven,390000, NET OF SALVAGE,11/13/2018 2:05,Accepted
5,0,6,34,55,Mcbride LLC,Johnsonmouth, Our own renewals,NOT KNOWN,Airline pilot,Fernandezville,"Fleming, Pratt and Williams",6300522,Linda Vega,CASHLESS,New Stevenberg,767200, OWNER DRIVER:DEATH,11/4/2018 19:20, Rejected
5,5,7,76,99,Smith-Neal,New Gabrielfort, Our own renewals,NOT KNOWN,Social researcher,Smithview,Carr-Franco,64722973,Colleen Tanner,REIMBURSEMENT,Lake Erikatown,300000, OWNER DRIVER:DEATH,10/27/2018 5:35, Rejected
8,8,1,35,50,"Pearson, Smith and Bryan",Whitebury,MTHF Renewal,NOT KNOWN,Chief Financial Officer,Brianport,"Smith, Norton and Scott",63916541,Vickie Robinson,REIMBURSEMENT,Lopezborough,190350,PARTIAL LOSS,11/28/2018 9:35,Accepted
4,8,5,8,24,Anderson-Lee,Port Robert,MTHF Renewal,NOT KNOWN,Further education lecturer,North Eric,Campos LLC,22950753,Carlos Gonzales,REIMBURSEMENT,Millerbury,250000, NET OF SALVAGE,10/22/2018 19:36, Rejected
4,0,6,40,95,"Gibson, Pratt and Bass",Grayland, NCB Transfer,NOT KNOWN,Personal assistant,East Alexander,"Boyd, Sanders and Oliver",690649,Vickie George,CASHLESS,Port Nathanhaven,448619, OWNER DRIVER:DEATH,12/20/2018 17:01, Rejected
2,0,4,27,84,"Avila, Sanchez and Young",Thomasshire, NCB Transfer,NOT KNOWN,Product manager,Mcmillanport,Jackson-Dalton,70102209,Scott Burton,,East Markberg,448619, OWNER DRIVER:DEATH,1/30/2019 11:38, Rejected
2,0,7,90,34,Johnson and Sons,Lisaside, New vehicle without NCB,NOT KNOWN,Agricultural engineer,Sotoland,Ayala Group,98946184,Richard Mccullough,CASHLESS,Martinview,664064, OWNER DRIVER:BODY INJURY,12/21/2018 8:44, Rejected
2,0,3,33,65,Martin Inc,East Andrewshire, Our own renewals,NOT KNOWN,Travel agency manager,Bowmanshire,Macdonald Inc,29251949,Victor Valentine,CASHLESS,Leahfort,2923625, NET OF SALVAGE,9/30/2018 18:05,Accepted
0,3,4,32,56,Cohen Ltd,Johnsonside, NCB Transfer,NOT KNOWN,Multimedia specialist,New Calebside,Villarreal-Blevins,53386999,Timothy Wells,CASHLESS,Taylormouth,528220, OWNER DRIVER:BODY INJURY,10/16/2018 19:54, Rejected
1,0,8,36,22,"Meadows, Curtis and Burke",Lake Christopher, Our own renewals,NOT KNOWN,"Therapist, occupational",Lake Donald,Evans-Foster,70206644,Daniel Vargas,CASHLESS,Luisshire,595270, OWNER DRIVER:BODY INJURY,11/14/2018 11:07,Accepted
1,0,2,43,74,Sampson-Watkins,East Courtneyland,MTHF Renewal,NOT KNOWN,Facilities manager,Kimberlyport,White Group,80298226,John Henderson,CASHLESS,Lake Christina,1502900, OWNER DRIVER:BODY INJURY,12/2/2018 0:04, Rejected
2,5,0,53,45,"Floyd, Johnson and Benjamin",Port Alexishaven, New vehicle without NCB,NOT KNOWN,"Nurse, mental health",East Michaelshire,"Martinez, Scott and Lucas",3216530,Rebecca Barber,,West Samuel,357607, OWNER DRIVER:BODY INJURY,3/1/2019 5:38, Rejected
9,0,3,32,78,"Dominguez, Blake and Rojas",Brandonland, Our own renewals,NOT KNOWN,Fitness centre manager,Christinafort,Molina Group,77123287,Joseph Bass,CASHLESS,South Tony,627475,PARTIAL LOSS,11/21/2018 8:18,Accepted
1,0,7,62,88,Bautista Group,South Samanthaville, NCB Transfer,NOT KNOWN,Speech and language therapist,Stevenville,Figueroa Group,7177612,Allen Perez,CASHLESS,Bakerbury,730360, OWNER DRIVER:BODY INJURY,10/15/2018 3:58,Accepted
3,0,9,83,30,"Burns, Ortega and Lam",North Daniellefort, New vehicle without NCB,NOT KNOWN,Television production assistant,Jamesfort,Thomas-Vega,73845195,Sean Martinez,,Nancymouth,730360, OWNER DRIVER:BODY INJURY,3/27/2019 1:12,Accepted
4,1,8,15,28,Hanson Ltd,Port Stevenhaven, NCB Transfer,NOT KNOWN,Environmental manager,Port Travis,"Wall, Johnson and Cook",30591994,Laura Peterson,CASHLESS,West Autumn,704896, NET OF SALVAGE,10/8/2018 17:14, Rejected
9,0,0,50,79,Hunter Inc,Danielview,MTHF Renewal,NOT KNOWN,"Nurse, learning disability",Kristinchester,Franklin and Sons,97129221,Brandi Miller,CASHLESS,Hallburgh,1796450,PARTIAL LOSS,11/8/2018 13:46, Rejected
7,3,1,25,40,Gibson-Nielsen,Port Jenniferburgh, New vehicle without NCB,NOT KNOWN,"Producer, television/film/video",North Jasonside,House-Turner,95827219,Darrell Austin,CASHLESS,Port Kimberly,418740,PARTIAL LOSS,2/5/2019 2:12, Rejected
3,0,0,96,81,"Martin, Cochran and Barron",Fordmouth,MTHF Renewal,NOT KNOWN,Restaurant manager,West Carolside,Shaw-Cruz,93983941,Frank Jones,CASHLESS,North Patriciaside,513148, OWNER DRIVER:DEATH,1/12/2019 10:51, Rejected
9,0,5,23,81,Holt-Grimes,Lake Carolyn, NCB Transfer,NOT KNOWN,Pension scheme manager,Lake Shelleyfurt,Griffith Ltd,43361934,Audrey Russell,CASHLESS,Morrismouth,1925650, NET OF SALVAGE,10/26/2018 0:35,Accepted
4,7,0,48,36,"Hunt, Mitchell and Church",New Olivia,MTHF Renewal,NOT KNOWN,Advertising art director,Duncanhaven,Yang-Archer,42865869,Harold Johnson,,Tonyaside,637986, OWNER DRIVER:BODY INJURY,10/2/2018 2:44, Rejected
3,5,7,24,41,"Baker, Baldwin and Keith",Kimburgh,MTHF Renewal,NOT KNOWN,Engineering geologist,Port Ericchester,Sutton LLC,25144780,Melissa Curtis,,Troyside,302600, NET OF SALVAGE,1/21/2019 21:05,Accepted
7,4,8,31,53,Smith-Anderson,Reginafurt, NCB Transfer,NOT KNOWN,Dispensing optician,Rosarioshire,Norman-Owens,21191904,Amy Phelps,,Brandonmouth,230902, OWNER DRIVER:DEATH,12/24/2018 17:16,Accepted
9,4,1,50,99,Casey-Browning,Gutierreztown, New vehicle without NCB,NOT KNOWN,Telecommunications researcher,Amyland,"Scott, Phillips and Johnson",5107763,Gary Williams,CASHLESS,Keytown,279411, NET OF SALVAGE,3/6/2019 1:52,Accepted
7,1,7,2,83,"Watkins, Thompson and Hammond",Robertside, NCB Transfer,NOT KNOWN,Advice worker,Lisafort,"Boyd, Robles and Hicks",5681582,Kenneth Pham,CASHLESS,South Tonyaburgh,209078, NET OF SALVAGE,2/3/2019 6:41,Accepted
5,4,2,87,49,"Guzman, Armstrong and Torres",Port Michaelfurt, Our own renewals,NOT KNOWN,Heritage manager,Mcgeehaven,"Guerrero, Rivera and Lutz",44064118,Dana Wiley,,Veronicaside,236464, NET OF SALVAGE,3/26/2019 5:07, Rejected
8,3,7,91,94,"Wallace, Wood and Russell",Cookechester, Our own renewals,NOT KNOWN,"Copywriter, advertising",North Aliciastad,Parker Ltd,11631074,Abigail Carter,CASHLESS,North Alexanderstad,355057,PARTIAL LOSS,2/21/2019 23:05,Accepted
7,5,3,52,33,"Hayes, Banks and Baldwin",Bishopfurt,MTHF Renewal,NOT KNOWN,Advice worker,New Alexandraborough,Lopez-Martinez,22317829,Kelli Roberts,REIMBURSEMENT,West Kevin,570000, OWNER DRIVER:BODY INJURY,11/16/2018 1:48,Accepted
6,5,6,0,38,Hayes PLC,Valeriechester, New vehicle without NCB,NOT KNOWN,Horticultural consultant,Kellerland,Hoffman Group,50086471,Allison Davis,,Sheritown,570000, OWNER DRIVER:DEATH,11/8/2018 23:27, Rejected
1,0,2,40,0,Walton-Miller,Lake Jonathanfurt, NCB Transfer,NOT KNOWN,"Scientist, research (physical sciences)",Butlerport,Mitchell-Peters,44913088,James Larson,CASHLESS,West Anatown,708622, OWNER DRIVER:BODY INJURY,2/9/2019 19:36, Rejected
2,0,2,11,94,"Davis, Rose and Cooper",Coleton, New vehicle without NCB,NOT KNOWN,"Surveyor, hydrographic",Mercadoside,"Cook, Diaz and Allen",80283269,Curtis Hanson,CASHLESS,Shannonland,436051, NET OF SALVAGE,1/11/2019 20:47, Rejected
1,0,8,3,64,"Clark, Reid and Blackburn",Port David, NCB Transfer,NOT KNOWN,"Psychologist, forensic",Lake Laura,"Martin, Wilson and Bell",39755655,Morgan Barton,CASHLESS,Angelhaven,745000, NET OF SALVAGE,3/29/2019 2:19,Accepted
6,0,3,40,74,Martinez Group,East Dylan, Our own renewals,NOT KNOWN,Forensic psychologist,North Sean,Martin-Duncan,37605651,Judy Hobbs,,Brandonside,745000, OWNER DRIVER:DEATH,11/12/2018 1:55,Accepted
0,0,2,39,45,"Hernandez, Smith and Nelson",South Jessica, New vehicle without NCB,NOT KNOWN,"Designer, jewellery",Amyfort,"Day, Morton and Gonzalez",1289576,Alexander Murray,CASHLESS,Carlsonchester,308183,PARTIAL LOSS,10/22/2018 15:58, Rejected
5,0,8,72,47,Baxter Group,Gregoryland,MTHF Renewal,NOT KNOWN,Personal assistant,Lake Brandonborough,Martinez Group,24262442,Carol Spencer,,Stevenside,1285872, NET OF SALVAGE,11/1/2018 0:09, Rejected
8,0,4,13,28,Richards-Morris,Kyleland,MTHF Renewal,NOT KNOWN,Theatre director,Port Kathy,"Stuart, Hartman and Simmons",3796186,Katrina Edwards,CASHLESS,North Alanbury,1285872, OWNER DRIVER:DEATH,1/17/2019 21:31, Rejected
3,2,9,78,70,"Barker, Harris and Fry",Christopherbury,MTHF Renewal,NOT KNOWN,"Designer, exhibition/display",Jacksonbury,Webster-Beard,65532304,Reginald Tran,CASHLESS,West Carolyn,445844, NET OF SALVAGE,12/10/2018 12:34, Rejected
3,2,4,20,7,Smith-Curtis,Reyesmouth, New vehicle without NCB,NOT KNOWN,Production engineer,Bradshire,Hicks Ltd,96073538,Jason Smith,,Freemanbury,445844, NET OF SALVAGE,10/14/2018 4:21,Accepted
1,0,6,43,20,"Patrick, Ryan and Hunter",Heathermouth,MTHF Renewal,NOT KNOWN,Chief Technology Officer,Salinasburgh,Parker-Fitzpatrick,14099771,Tanya Smith,CASHLESS,Lake Terryview,462444, NET OF SALVAGE,12/22/2018 19:16,Accepted
9,0,2,27,86,Campbell Inc,New Duane, NCB Transfer,NOT KNOWN,Therapeutic radiographer,Elizabethville,Johnson Ltd,25533610,Jennifer Boyer,CASHLESS,Jessicaburgh,694925,PARTIAL LOSS,3/1/2019 7:21, Rejected
8,6,9,65,70,"Rubio, Lopez and Flores",Lake Keith, New vehicle without NCB,NOT KNOWN,Dispensing optician,South Jamesport,Garcia-Collins,79569032,Matthew Guerra,CASHLESS,Port Annashire,290000, OWNER DRIVER:BODY INJURY,2/23/2019 8:55, Rejected
5,6,9,15,7,"Young, Lewis and Smith",Lake Paul, New vehicle without NCB,NOT KNOWN,Chartered certified accountant,Riverabury,"Patel, Walters and Schmitt",7669313,Amanda Johnson,REIMBURSEMENT,Christophermouth,360000,PARTIAL LOSS,10/1/2018 21:05, Rejected
8,6,3,93,71,"Dalton, Jones and Olson",Paulberg, New vehicle without NCB,NOT KNOWN,Building surveyor,Jamesberg,"Murphy, Barker and Oconnor",48844327,Leslie Jefferson,CASHLESS,Lake Melinda,360000, OWNER DRIVER:BODY INJURY,11/21/2018 21:24,Accepted
4,6,0,98,38,Stewart-Moore,Smithchester, New vehicle without NCB,NOT KNOWN,Industrial buyer,Jenniferberg,Morris LLC,23160477,Briana Scott,,West Reneechester,360000, OWNER DRIVER:BODY INJURY,3/27/2019 1:40, Rejected
9,0,1,1,48,Stewart-Mitchell,Michaelbury, New vehicle without NCB,NOT KNOWN,Control and instrumentation engineer,Georgestad,Lewis and Sons,8471004,Wendy Jackson,CASHLESS,Keithhaven,587778, NET OF SALVAGE,3/14/2019 3:21, Rejected
5,4,8,91,65,Holt Ltd,Davidside, Our own renewals,NOT KNOWN,Amenity horticulturist,North Sarahhaven,"Gibbs, Duncan and Sosa",61205426,Richard Murillo,,Michaelstad,400000, OWNER DRIVER:DEATH,3/13/2019 16:12, Rejected
9,0,1,78,42,Erickson LLC,Williamshire, New vehicle without NCB,NOT KNOWN,Textile designer,Rivasshire,Park Inc,93837637,Jonathan Bryan,CASHLESS,Lake Sethhaven,853072, OWNER DRIVER:DEATH,10/4/2018 10:39,Accepted
1,7,5,47,97,Myers-Carter,Juarezfurt, Our own renewals,NOT KNOWN,"Production assistant, television",Hahnport,Khan PLC,72101334,Brenda Baker,REIMBURSEMENT,South Steven,473940,PARTIAL LOSS,1/13/2019 17:12, Rejected
0,4,6,34,12,"Clark, Williamson and Miles",Robertsonburgh, New vehicle without NCB,NOT KNOWN,Mental health nurse,Kennethside,Cox-Rodriguez,79281006,Isaac Lynch,REIMBURSEMENT,Beanton,437400, OWNER DRIVER:DEATH,11/30/2018 20:08, Rejected
8,6,9,24,6,"White, Brown and Duarte",South Kimshire,MTHF Renewal,NOT KNOWN,Astronomer,Lake Joshua,Evans-Olson,94211871,Gilbert Mcfarland,CASHLESS,Melissaport,475900,PARTIAL LOSS,10/14/2018 12:05, Rejected
1,0,3,67,87,Jordan-Henderson,Shannonport, New vehicle without NCB,NOT KNOWN,Trade union research officer,Brianchester,"Hernandez, Mills and Taylor",60808558,Joseph Bennett,CASHLESS,Hallside,708622, NET OF SALVAGE,1/26/2019 7:42, Rejected
0,2,7,26,80,Nguyen-Phillips,Anthonyberg,MTHF Renewal,NOT KNOWN,Solicitor,Port Alexander,Martinez Ltd,45050860,Tracy Lopez,CASHLESS,East Alice,225168, OWNER DRIVER:BODY INJURY,10/31/2018 14:02,Accepted
3,9,0,83,15,Acosta Inc,Whiteside, New vehicle without NCB,NOT KNOWN,Air cabin crew,Nathanielville,Hancock PLC,24379040,Christina Bowen,REIMBURSEMENT,New Richardhaven,259400, NET OF SALVAGE,3/3/2019 5:02,Accepted
0,9,0,55,86,"Kelly, Lane and Zamora",Lake Jennifer,MTHF Renewal,NOT KNOWN,"Production designer, theatre/television/film",Timothyville,Meyers-Dickson,2984014,Stacy Hill,,Wilsonhaven,259400, OWNER DRIVER:DEATH,3/22/2019 17:16, Rejected
8,3,9,59,49,Burch-Hill,Jacktown, Our own renewals,NOT KNOWN,Sport and exercise psychologist,New Jason,Riley-Baker,17084350,Stacy Alvarado,CASHLESS,South Nathaniel,297700, OWNER DRIVER:BODY INJURY,3/13/2019 0:22,Accepted
0,3,3,81,85,Fletcher Group,Crystalchester, NCB Transfer,NOT KNOWN,"Administrator, education",Matthewside,Harper-Reynolds,43554686,Annette Bowman,,Port Josephberg,297700, NET OF SALVAGE,1/29/2019 17:36,Accepted
0,0,7,7,3,Moore Ltd,Dorothyville,MTHF Renewal,NOT KNOWN,"Buyer, industrial",Michaelborough,Brown Ltd,21795837,Tracy Brown,CASHLESS,Lake Daniel,616263, OWNER DRIVER:DEATH,1/6/2019 23:11,Accepted
3,1,6,36,25,Bell Inc,Bradleyview,MTHF Renewal,NOT KNOWN,Production manager,Odonnellland,Spears-Blevins,64957077,Nicole Wood,REIMBURSEMENT,Mitchellside,778000, OWNER DRIVER:BODY INJURY,12/1/2018 16:59, Rejected
8,5,0,10,43,"Bates, Reyes and Lopez",North Benjamin, New vehicle without NCB,NOT KNOWN,Legal secretary,North Douglasmouth,Rivera and Sons,49379190,Thomas Walters,CASHLESS,Lake Christopherborough,269100, OWNER DRIVER:DEATH,3/23/2019 1:38, Rejected
7,5,7,3,13,"Sparks, Waters and Davis",Shelleymouth, NCB Transfer,NOT KNOWN,Sales executive,Turnerbury,"James, Howard and Moss",53590910,Crystal Jenkins,,North Alicialand,269100, OWNER DRIVER:BODY INJURY,12/18/2018 13:35,Accepted
1,12,2,60,20,Serrano Ltd,East Terri, New vehicle without NCB,NOT KNOWN,Television production assistant,Castanedaport,Wright LLC,98641360,Steven Peters,CASHLESS,Jasonbury,99000, NET OF SALVAGE,10/8/2018 19:34,Accepted
